;@qpcr:group;;;;;@qpcr:group;;;;;@qpcr:group;;;;
Target;Dog 2 NormalCt;Dog 7 Normal Ct;Dog 11 Normal Ct;Dog 24 Normal Ct;Dog 28 Normal Ct;Dog 5 Mild Ct;Dog 8 Mild Ct;Dog 13 Mild Ct;Dog 15 Mild Ct;Dog 16 Mild Ct;Dog 14 Severe Ct;Dog 23 Severe Ct;Dog 25 Severe Ct;Dog 29 Severe Ct;Dog 30 Severe Ct
let-7a;24.390507;22.336443;22.666512;31.165567;24.408375;23.008493;22.40794;22.89485;21.291124;24.825455;26.097214;26.779495;28.13114;25.854073;25.734947
let-7b;26.795164;23.41091;23.489767;32.309166;25.193256;23.694143;23.678242;24.401072;23.234583;26.277311;27.893116;26.292046;29.055393;27.02314;26.350033
let-7c;28.748043;25.322916;25.791561;32.60442;27.713396;26.76153;26.21539;26.69967;25.758602;28.341673;40;28.712288;32.305065;30.160711;29.199692
let-7f;26.679142;24.000635;24.71627;31.197443;26.220896;25.373407;24.975035;25.253511;24.092506;27.331991;28.783297;27.10839;30.258677;27.827627;27.050913
let-7g;28.303774;25.289694;26.284483;32.392075;27.306723;26.389961;26.647272;26.393179;25.041355;28.965216;31.004543;27.528196;31.96141;30.036411;26.875998
miR-1;32.632286;27.27462;29.307537;33.030357;29.555258;30.684958;30.412605;30.347754;27.509266;30.190224;32.992203;29.421774;33.93558;30.725336;29.271355
miR-101;35.54077;34.523487;34.625584;35.65681;35.297585;34.547703;35.511463;33.221336;32.051594;32.916794;34.906727;35.426895;40;40;31.22294
miR-103;30.500175;27.363745;28.228518;35.447647;29.817167;27.960978;28.135508;28.476599;27.031946;30.109856;32.34094;30.329777;34.395855;33.18806;28.943953
miR-106a;30.20143;27.284489;28.98571;33.70704;29.879217;28.03103;28.086834;28.08728;26.370838;30.52284;32.044262;30.448149;32.93999;32.68144;27.612823
miR-106b;32.99566;30.810923;31.949953;33.237995;32.921497;31.82922;31.79466;31.219812;29.26487;32.117706;34.591553;32.97528;34.663662;33.724323;29.944424
miR-10b;35.138332;34.26166;33.94866;40;32.944733;35.34681;34.356777;33.745358;33.820156;34.602314;40;35.244274;40;35.378654;34.508816
miR-122;35.187984;34.96662;35.44081;35.237835;40;35.05966;33.87944;40;40;40;40;35.407864;40;40;40
miR-124;34.80553;32.57241;35.423424;35.093636;34.483807;32.109856;35.533596;32.095745;34.911694;40;32.70807;35.711353;40;34.690758;40
miR-125a;28.63043;24.840393;25.946938;33.36656;27.038006;25.9676;26.826073;26.21897;25.218115;28.000664;31.793762;26.867687;31.482891;30.419998;27.0607
miR-125b;26.773314;23.086332;23.308344;31.589075;23.85603;22.584555;24.384398;23.431116;22.243063;25.983849;29.193314;24.352217;28.342531;26.299925;23.01666
miR-126;32.67956;32.99563;30.195389;34.686977;28.992636;31.86834;33.079285;28.134604;28.717588;40;34.51564;31.919909;34.739586;33.871807;32.316837
miR-130a;32.181095;29.478922;30.968214;35.463284;31.530605;30.054335;29.61504;29.346794;27.807072;31.359251;32.947033;32.221436;34.170525;34.706768;30.895304
miR-133a;40;31.96155;32.15189;34.841434;31.839561;33.88442;34.401016;34.483818;31.621717;33.181755;40;31.942099;40;33.60097;31.943628
miR-133b;40;35.217403;34.331978;40;35.287224;40;35.343327;40;34.598804;35.167088;40;34.857773;40;40;33.53928
miR-137;40;40;40;30.467022;35.19732;35.400845;35.143436;34.440765;33.34089;34.73035;40;40;40;40;33.68128
miR-141;40;40;40;40;35.52391;40;40;40;40;40;40;40;40;7.385815;40
miR-143;31.63214;25.797518;29.23342;35.085133;29.249472;28.971611;28.630596;27.963509;26.118122;29.02255;32.83304;30.130678;33.996964;31.811531;26.937204
miR-145;30.435572;24.596119;27.184559;35.29908;26.969738;26.846497;27.93183;27.845428;25.736914;28.106709;31.457748;26.85913;32.037624;30.749168;26.766623
miR-146a;35.46485;32.955864;35.49392;40;31.397312;32.841427;32.50092;31.878654;31.089102;34.402985;35.38179;32.97569;35.587452;40;31.515089
miR-146b;35.034916;33.009544;34.77292;40;35.366154;32.8178;33.881096;31.529676;32.92842;40;33.564766;34.89583;40;40;33.99416
miR-148a;31.006367;27.922577;29.143335;34.958084;29.971315;28.035635;29.407291;28.521128;25.967276;31.304365;32.4027;31.234562;34.1292;34.181194;27.9856
miR-150;40;35.24254;34.95213;40;40;35.633186;40;35.2116;34.724117;40;40;40;40;40;40
miR-15a;32.613297;29.44596;30.910482;35.48288;32.011314;29.932114;30.28134;29.8574;28.140667;32.010647;32.876648;32.432293;34.750256;34.09698;29.874819
miR-15b;27.313745;24.260586;25.71673;31.710016;26.474077;25.02515;25.2404;25.344332;24.196783;28.140303;30.086452;27.226088;30.419733;29.79462;25.954819
miR-16;28.275354;24.943125;25.535233;31.678652;25.920506;25.573185;26.207455;25.368061;23.749521;27.460936;30.366295;27.329641;30.88417;29.838976;25.49215
miR-17;34.72389;34.334953;34.799423;40;33.840294;34.22238;35.2903;35.379833;32.847363;33.860832;40;40;40;40;35.249844
miR-181a;32.93836;28.26701;30.051914;35.310413;31.1532;29.92188;29.759647;29.477453;27.141626;30.26868;34.746685;31.21273;34.310978;33.910965;29.633324
miR-181b;31.33081;27.250006;29.209124;34.795925;29.155045;28.41222;28.783047;28.562174;26.845913;30.167192;31.907532;29.507776;33.946457;32.14631;29.091732
miR-182;33.326385;31.119717;30.754824;40;32.83242;30.79718;31.928951;31.29218;30.363476;32.93173;35.493202;34.431496;34.916874;35.402184;31.019272
miR-183;35.37175;32.175972;31.374218;40;33.714996;31.666552;32.68683;32.754402;31.25394;33.278408;33.843243;34.032726;35.230415;40;31.956173
miR-184;40;40;40;34.984;40;35.33346;35.24536;40;40;40;40;40;40;40;34.709984
miR-18a;32.84989;31.133629;32.188564;35.375553;35.273956;30.96222;32.1498;30.987574;29.061857;31.659454;40;34.039818;34.712837;40;29.763975
miR-191;28.049805;25.272543;25.972288;32.997993;27.751755;25.95995;26.653969;26.312742;25.19195;28.946749;31.706738;28.755178;31.489285;30.45455;27.552586
miR-192;34.60042;33.93999;34.960457;35.17688;35.523926;34.464367;35.212128;33.6746;34.582466;33.039555;40;33.70901;40;40;35.05569
miR-195;30.299738;27.232904;27.715567;32.519478;27.5798;27.658909;28.354475;27.926823;26.147161;30.381113;32.125988;29.771221;32.989834;31.431984;28.048563
miR-196a;35.55749;33.578922;35.431576;34.063072;35.397785;35.276882;34.412125;34.39389;34.58851;35.591988;34.706375;40;40;40;40
miR-19a;32.14148;29.804472;32.33426;34.596592;33.04847;30.924778;30.705723;30.101963;28.769295;30.604599;32.593235;32.59801;40;34.97096;27.85689
miR-200a;34.07165;35.18795;34.33513;33.917286;33.268444;33.019505;32.549713;35.29069;32.135883;33.533066;40;34.195824;34.395065;33.970158;33.86711
miR-200b;35.579918;34.15989;35.358765;35.743504;35.133404;35.561886;33.314198;34.676655;34.504597;34.87695;40;34.777504;36.063457;34.13814;35.04082
miR-200c;40;34.731705;40;40;40;40;40;34.799053;40;40;40;40;40;40;34.518326
miR-203;40;32.94103;35.425835;40;34.783833;33.332626;40;35.358368;35.087795;34.87634;40;40;40;40;35.527233
miR-204;31.496916;26.555725;29.069965;34.712215;29.71143;28.301628;29.163973;28.949972;26.999756;30.40611;33.972942;27.952497;34.325333;33.78971;29.014553
miR-205;40;35.227573;40;35.46076;35.55794;35.04374;35.55271;40;34.698765;32.66186;40;40;40;40;32.7287
miR-20a;29.405687;26.85927;28.244482;33.02332;29.327274;27.22789;28.01791;27.280756;25.900408;30.399944;32.27204;32.270134;32.07977;32.342014;27.46205
miR-21;22.868395;19.449717;20.821522;26.948864;22.45276;20.762459;22.920668;20.107262;18.443518;24.200603;27.018494;23.901215;27.984655;26.663408;21.378223
miR-210;30.450323;29.118752;29.545818;26.10369;26.07165;28.359112;29.382725;30.732803;28.407246;29.825891;30.60303;30.275583;27.31949;27.3375;27.266
miR-214;28.126741;25.074387;26.375584;34.360767;26.40612;25.002935;26.251558;26.370975;25.079443;27.994059;30.887737;26.878534;30.665693;29.767374;25.52684
miR-218;34.656193;33.30635;34.580612;35.25349;35.548935;34.73651;34.575493;32.99857;32.965286;34.893948;40;35.540806;35.488132;35.147583;33.824825
miR-22;32.246883;27.903183;28.132782;33.944965;29.964619;27.934559;29.223515;28.142952;25.940842;29.968773;32.9561;30.124634;34.97999;31.837904;26.973858
miR-222;26.387003;24.882034;25.309195;31.386686;26.546373;24.203514;25.456121;25.98854;24.832703;27.699673;30.283228;26.661448;32.205776;30.863293;26.695303
miR-223;35.426838;32.275303;33.079845;40;34.707676;32.992054;34.29215;34.562008;32.247734;35.385674;40;33.384644;40;40;33.340324
miR-224;31.787502;29.8846;31.830265;32.182533;29.88129;29.018948;29.272522;29.173948;28.63484;31.314577;35.670986;29.785513;32.021152;32.156837;30.280529
miR-23a;23.603933;21.471327;22.398354;27.405714;23.289988;21.787424;22.331993;22.024456;21.449413;23.854546;26.247715;23.421463;27.947;26.363644;23.133783
miR-23b;25.720749;23.372404;24.054602;30.354465;25.21809;23.353994;24.204887;24.551914;23.262508;25.536215;27.918587;24.577915;29.560015;28.13123;24.90377
miR-24;26.705746;23.780746;24.981869;30.34157;26.090715;24.132122;24.854605;25.160658;23.509144;26.797295;29.450588;25.662285;29.491962;28.731321;24.573465
miR-25;27.553387;25.355293;26.348368;32.074825;26.55134;25.91586;26.279062;26.486057;25.1397;28.93646;31.65133;29.718384;32.32743;30.744598;27.414654
miR-26a;27.92162;24.053902;25.193874;32.393597;26.539337;25.091803;26.198954;25.786524;24.31867;27.166716;29.679506;27.617458;30.87925;29.268475;26.976736
miR-27a;28.056107;25.721334;26.942616;29.565798;27.014048;25.733564;26.764664;26.320702;24.382078;28.045853;30.802273;28.987593;31.169199;30.422503;25.262495
miR-27b;27.410177;24.389626;25.40757;31.956356;27.001394;24.731081;25.932718;25.365088;23.408669;27.890526;31.099909;27.39885;31.505667;30.63384;25.525166
miR-29b;32.405907;31.25831;30.896437;33.408195;32.61613;30.886244;30.415195;29.39769;28.005787;31.251833;33.322372;33.494476;40;33.90354;29.510729
miR-29c;29.374374;26.189306;26.838173;32.951576;27.622305;25.743;26.896074;26.025421;23.822077;28.841757;31.302574;28.273085;33.037586;30.831303;25.280367
miR-30b;32.09389;28.184477;29.205921;34.518353;30.340094;28.883747;30.418974;29.431763;27.39198;31.36824;34.47068;31.214127;34.200798;33.20627;27.59374
miR-30c;31.223919;26.971138;28.191748;32.541393;29.028212;27.471277;28.977003;28.324337;26.944944;30.07699;33.96786;29.184912;33.312477;31.88802;28.316849
miR-30d;31.691221;26.65286;27.820076;35.276546;28.270815;27.09513;28.51358;28.196999;26.830824;30.42192;33.89115;29.30999;32.97592;32.349514;28.218859
miR-31;40;34.89957;34.70452;40;35.49355;35.12573;34.27083;33.899837;35.28465;35.276768;40;34.74755;40;40;34.769157
miR-335;35.608833;32.96769;34.83631;34.82074;34.3995;32.917618;35.244656;33.92601;31.815369;33.9133;40;35.239887;33.394592;34.470398;34.247818
miR-342;34.41453;30.642168;30.483189;34.97945;31.780313;30.78378;31.604513;31.62056;30.19185;33.046574;34.946133;31.323236;34.824635;34.84733;30.841122
miR-34a;34.960327;31.701967;32.31154;40;32.48833;30.392065;31.875065;32.37356;29.975788;33.1935;34.99102;34.96263;35.032825;40;31.482822
miR-34b;40;35.743095;40;40;40;40;40;40;40;40;40;40;40;40;33.91484
miR-34c;40;35.378185;34.813877;40;35.556015;34.718807;34.3338;35.69042;34.397427;40;34.651405;40;34.66901;34.68637;40
miR-375;32.315865;32.055157;32.118553;33.28471;32.698658;31.945456;32.88614;32.83692;32.318867;33.196968;32.83298;32.43273;35.312508;32.66924;32.818478
miR-378;30.8092;27.18318;29.253656;34.721344;30.035728;28.67734;28.813211;28.952135;28.139889;30.872997;32.229195;30.812147;34.78443;33.482258;29.800037
miR-451;40;34.92679;35.489998;35.50077;33.6091;40;40;35.467403;34.009487;40;40;40;40;40;34.686756
miR-499;34.727;33.304287;35.58772;40;35.530746;34.683132;35.04695;34.04998;32.294746;35.006893;40;35.2908;40;35.16057;33.304646
miR-7;30.151752;27.372318;28.718296;32.62889;29.787725;27.738813;28.976082;28.227278;26.363306;31.819994;32.5334;30.012121;34.144215;32.996235;27.94378
miR-9;31.901947;30.609812;32.515446;35.6177;31.981256;31.368135;31.003593;30.015453;29.252748;34.246407;40;33.194252;33.939796;35.483532;32.05168
miR-92a;28.276047;25.374533;26.264694;31.64976;26.33919;25.001558;26.16548;26.130545;23.921303;28.359976;31.167633;26.867733;31.057697;30.15873;25.795551
miR-93;30.983437;27.518034;28.889381;33.306007;29.081015;27.870861;28.21385;28.333574;26.585432;30.48975;31.840551;30.021873;33.753647;32.040768;27.914755
miR-96;34.865383;34.61598;34.882866;34.816437;34.57666;34.520668;40;32.96674;34.528694;32.905384;40;40;40;35.674763;35.40121
cel-miR-39;34.21637;36.867832;40;34.531025;34.782753;35.523575;35.59438;40;35.944252;40;40;40;40;40;35.733875
SNORD61;29.43311;25.359398;26.112087;33.268356;26.267845;25.409996;26.966007;26.006863;24.366758;28.44565;31.566801;27.338175;32.3702;31.807579;27.028046
SNORD68;28.446602;25.398794;24.935675;32.879124;25.61097;24.959213;26.91419;26.385994;24.991903;27.838448;31.40182;26.614773;31.61313;31.317005;27.64345
SNORD72;32.2256;25.138372;26.127682;31.978664;28.309425;26.16176;28.393475;26.10018;24.629084;29.538319;33.297657;28.415344;33.999516;32.108273;27.12968
SNORD95;31.182835;28.24324;27.87945;40;27.231846;27.151464;28.633808;28.867666;26.89159;30.314915;31.9937;28.945969;34.04409;32.02349;28.242018
SNORD96a;31.19351;28.58255;28.612955;35.424812;28.086761;27.957565;29.377113;29.081688;27.533918;30.087477;33.179314;29.879583;34.328297;32.355774;28.291784
RNU6-2;28.712337;25.426714;26.423323;32.72236;25.961866;24.808811;26.702084;26.306808;23.200594;28.603735;31.042587;26.895332;30.890017;29.781967;24.893528
miRTC;34.49896;32.69217;32.27064;34.623947;31.04839;30.306553;34.176674;31.33148;30.613298;35.057426;35.727165;32.005093;34.77884;34.4087;26.322174
PPC;20.559946;20.317898;20.121828;20.115795;20.35919;20.421295;19.852158;20.077229;20.243525;19.738451;20.242914;19.713673;20.063927;19.66489;20.197996
miR-383;40;32.723415;33.762657;33.206192;24.408375;35.43819;35.093594;34.52951;34.220882;35.02904;40;35.456238;34.82259;32.84252;33.208294
miR-129;34.730877;34.022766;34.161785;35.418636;25.193256;32.953648;32.899284;33.91802;32.23514;35.255722;34.82925;34.03123;34.058567;34.796955;33.08968
miR-135a;34.510033;34.55356;33.38926;40;27.713396;35.530155;35.594273;35.576065;35.551323;34.587967;35.23745;35.332558;35.699387;35.296192;33.20154
miR-632;40;34.665882;40;40;26.220896;40;34.53415;34.333244;34.88604;40;40;40;40;40;35.49177
miR-219-3p;40;34.914963;34.813946;40;27.306723;34.783382;35.318092;34.75749;34.665913;34.79466;35.571564;33.58502;40;33.422905;34.862156
miR-494;40;32.84581;32.70321;40;29.555258;32.234535;32.475468;31.955061;30.034618;33.00888;34.84189;33.91928;40;33.243504;33.259853
miR-208b;40;40;40;40;35.297585;40;40;40;35.63627;34.814384;40;34.19725;40;40;34.882637
miR-874;34.51299;32.064518;32.385334;34.878162;29.817167;30.976109;31.48537;32.456394;30.5909;34.4359;33.85795;32.647137;40;33.997242;32.597294
miR-449;40;40;40;40;29.879217;35.43316;40;40;40;40;40;40;40;35.001167;35.297752
miR-187;35.548103;34.574776;34.087234;35.572376;32.921497;34.013012;33.93521;35.55156;33.008278;33.801517;34.862354;34.312416;40;35.303474;35.529465
miR-761;40;33.55599;35.59033;35.95478;32.944733;34.248306;33.641747;35.26596;35.557198;35.534966;40;34.8004;40;40;40
