@qpcr:assay;@qpcr:assay;@qpcr:normaliser;@qpcr:normaliser;;
TLR1;TLR4;ACTB;GAPDH;group;one more col
26.34;26.17;15.98;16.79;my;15.24
30.47;23.57;18.72;17.65;my;13.39
21.75;21.84;15.2;15.24;my;17.01
20.46;21.91;11.48;13.39;my;18.2
23.85;28.93;18.03;17.01;my;16.22
23.02;22.63;18;18.2;my;14.51
31.71;33.56;18.65;16.22;my;14.33
21.15;28.32;14.44;14.51;my;  No Ct 
25.58;23.65;16.66;14.33;my;18.77
36.23;  No Ct ;  No Ct ;  No Ct ;my;  No Ct 
28.82;38.92;17.4;18.77;my;15.94
38.03;  No Ct ;22.58;  No Ct ;my;14.24
28.26;25.85;16.32;15.94;my;17.2
21.22;23.17;13.09;14.24;my;14.95
19.55;21.17;11.8;17.2;my;15.96
23.2;27.31;14.74;14.95;my;13.42
20.88;24.18;15.64;15.96;my;13.64
21.5;22.65;12.34;13.42;my;15.85
21.44;23.63;12.42;13.64;my;15.31
19.28;23.19;15.41;15.85;2;16.86
29;  No Ct ;16.71;15.31;2;19.04
22.89;25.02;16.53;16.86;2;17.82
29.84;27.38;18.63;19.04;2;17.82
23.26;30.27;16.63;16.58;2;17.82
19.88;23.81;15.33;15.62;2;17.82
25.53;22.82;17.07;17.82;2;17.82
21.28;23.08;13.79;13.9;2;17.82
22.97;25.69;14.31;14.37;2;17.82
21.72;24.92;13.99;13.75;2;17.82
  No Ct ;  No Ct ;18.47;16.96;2;17.82
19.7;24.58;15.74;15.33;2;17.82
22.56;27.18;15.98;15.43;2;17.82
20.5;23.12;14.36;14.92;2;17.82
38;32.65;19.09;15.77;2;17.82
21.81;26.13;16.84;16.57;2;17.82
25.6;23.11;15.89;16.14;2;17.82
19.62;21.73;14.29;14.92;2;17.82
23.08;25.61;15.3;16.02;3;17.82
22.35;30.36;16.48;15.57;3;17.82
25.81;26.45;15.73;14.99;3;17.82
19.27;27.2;15.19;13;3;17.82
20.7;28.86;14.74;13.49;3;17.82
26.57;27.75;15.77;16.07;3;17.82
23.51;30.18;17.36;17.57;3;17.82
18.8;22.6;13.5;12.96;3;17.82
22.43;32.22;16.8;15.54;3;17.82
21.43;29.35;15.63;15.21;3;17.82
20.84;23.55;14.21;14.39;3;17.82
26.08;27.35;15.42;15.76;3;17.82
25.38;29.1;14.73;13.78;3;17.82
24.43;26.48;14.4;13.91;3;17.82
23.5;20.94;14.56;15.23;3;17.82
20.12;24.3;14;13.97;3;17.82
23.08;26.09;15.49;15.81;3;17.82
23.79;24.72;15.99;13.89;3;17.82
19.79;24.77;13.13;12.31;3;17.82
20.92;21.55;13.64;12.42;3;17.82
22.98;25.84;15.02;13.45;3;17.82
21.12;24.19;15.56;15.6;3;17.82
19.1;22.07;15.45;15.61;3;17.82
22.16;25.77;14.86;14.58;3;17.82
23.41;24.06;15.02;14.89;3;17.82
19.33;24.45;13.95;12.73;4;17.82
24.7;29.69;15.57;14.68;4;17.82
33.73;31.14;16.41;15.71;4;17.82
21.54;27;16.79;14.98;4;17.82
23.28;25.49;14.47;14.25;4;17.82
24.15;22.76;11.4;12.13;4;17.82
28.69;28.75;18.78;18.86;4;17.82
24.73;29.31;16.75;14.83;4;17.82
24.51;24.98;17.03;16.39;4;17.82
28.81;28.5;15.77;15.35;4;17.82
19.89;26.56;11.78;11.89;4;17.82
23.72;25.83;15.28;13.79;4;17.82
20.55;27.14;14.26;13.76;4;17.82
28.06;26.03;16.77;17.21;4;17.82
20.58;24.85;11.51;12.07;4;17.82
  No Ct ;30.14;21.24;18.97;4;17.82
23.57;23.37;12.68;13.44;4;17.82
19.27;20.28;11.14;11.15;4;17.82
25.16;26.75;14.33;15.57;4;17.82
21.65;27.37;13.66;12.85;5;17.82
23.65;28.47;15.91;14.32;5;17.82
21.36;26.52;12.55;13;5;17.82
22.11;23.66;14.23;15.4;5;17.82
24;32.62;19.39;20.44;5;17.82
17.21;24.52;11.94;13.44;5;17.82
19.13;22.41;10.91;12.78;5;17.82
20.81;26.72;14.77;14.35;6;17.82
22.92;24.77;15.08;15.98;6;17.82
19.18;22.66;12.44;13.8;6;17.82
22.31;24.35;12.46;14.3;6;17.82
