Name;Ct
Sample A1 @ C2;26.86
Sample A1 @ C2;27.29
Sample A2 @ C2;27.12
Sample A2 @ C2;27.06
Sample A3 @ C2;26.66
Sample A3 @ C2;26.94
Sample A4 @ C2;25.18
Sample A4 @ C2;25.09
Sample A5 @ C2;25.13
Sample A5 @ C2;25.14
Sample A6 @ C2;25.53
Sample A6 @ C2;25.76
Sample A7 @ C2;24.42
Sample A7 @ C2;24.21
Sample A8 @ C2;24.42
Sample A8 @ C2;24.49
Sample B1 @ C2;24.35
Sample B1 @ C2;24.34
Sample B2 @ C2;24.17
Sample B2 @ C2;24.25
Sample B3 @ C2;24.34
Sample B3 @ C2;24.31
Sample B4 @ C2;24.45
Sample B4 @ C2;24.45
